word,sentiment
appoint,Positive
apprais,Neutral
appreci,Positive
apprehend,Positive
apprehens,Negative
approach,Positive
appropri,Positive
approv,Positive
approxim,Neutral
april,Neutral
apt,Positive
aptitud,Positive
arab,Neutral
arabia,Neutral
arbit,Positive
arbitrari,Negative
arbitr,Positive
arch,Neutral
architect,Neutral
architectur,Neutral
ardent,Positive
ardour,Neutral
arduou,Negative
ar,Neutral
area,Neutral
arena,Neutral
argentin,Neutral
argu,Negative
argument,Negative
arid,Neutral
aris,Neutral
arisen,Positive
aristocraci,Positive
aristocrat,Positive
arizona,Neutral
arkansa,Neutral
arm,Neutral
armament,Neutral
armistic,Neutral
armi,Neutral
aros,Neutral
around,Neutral
arous,Neutral
arrang,Neutral
arrest,Negative
arriv,Neutral
arrog,Negative
arrow,Objective
arsen,Neutral
art,Positive
arteri,Neutral
articl,Neutral
articul,Neutral
artifici,Negative
artist,Neutral
as,Neutral
as0,Neutral
as_0,Neutral
as_,Neutral
ascend,Neutral
ascent,Neutral
ascertain,Neutral
ascrib,Positive
ash,Neutral
asham,Negative
asia,Neutral
asid,Neutral
ask,Neutral
asleep,Neutral
aspect,Neutral
aspir,Positive
ass,Neutral
assail,Negative
assassin,Negative
assault,Negative
assembl,Neutral
assent,Positive
assert,Neutral
assess,Neutral
assessor,Neutral
asset,Positive
assign,Neutral
assimil,Neutral
assist,Positive
associ,Positive
assum,Neutral
assumpt,Neutral
assur,Positive
assuredli,Positive
assured,Neutral
astonish,Neutral
astound,Positive
astrai,Negative
astronom,Neutral
astronomi,Neutral
astut,Positive
asund,Negative
at,Neutral
athlet,Positive
atlant,Neutral
atlanticali,Neutral
atlanticcommun,Neutral
atlanticpact,Neutral
atla,Neutral
atmospher,Neutral
atom,Neutral
atop,Neutral
atroci,Negative
atrophi,Negative
attach,Neutral
attack,Negative
attain,Positive
attempt,Neutral
attend,Positive
attent,Neutral
attest,Neutral
attic,Neutral
attitud,Neutral
attornei,Neutral
attract,Positive
attribut,Neutral
attun,Positive
auction,Neutral
audaci,Negative
audac,Negative
audibl,Positive
audienc,Neutral
auditor,Neutral
augment,Positive
august,Neutral
aunt,Neutral
auspici,Positive
auster,Negative
australia,Neutral
australian,Neutral
austria,Neutral
austrian,Neutral
authent,Positive
author,Neutral
authoris,Neutral
authoritarian,Neutral
authorit,Positive
auto,Neutral
autocrat,Negative
automat,Neutral
automobil,Neutral
automot,Neutral
autonom,Positive
autonomi,Neutral
autumn,Neutral
auxiliari,Neutral
avail,Neutral
avaric,Negative
avarici,Negative
aveng,Negative
avenu,Neutral
averag,Objective
avers,Negative
avert,Negative
avid,Positive
avoid,Negative
avow,Neutral
await,Neutral
awak,Neutral
awaken,Neutral
award,Positive
awar,Positive
awai,Neutral
aw,Neutral
awhil,Neutral
awkward,Negative
awok,Neutral
ax,Negative
axi,Neutral
axl,Neutral
babbl,Negative
babi,Neutral
bachelor,Neutral
back,Neutral
backbon,Positive
backer,Positive
background,Neutral
backward,Negative
bacon,Neutral
bad,Negative
badger,Neutral
badli,Negative
baffl,Negative
bafflement,Negative
bag,Neutral
bail,Negative
bait,Negative
bake,Neutral
baker,Neutral
balanc,Neutral
bale,Neutral
balk,Negative
ball,Neutral
ballet,Neutral
ballist,Objective
balloon,Neutral
ballot,Neutral
balmi,Positive
ban,Neutral
banal,Negative
band,Neutral
bandit,Negative
bandstand,Objective
bane,Negative
banish,Negative
bank,Neutral
banker,Neutral
bankrupt,Negative
bankruptci,Negative
banquet,Neutral
banter,Neutral
baptism,Positive
baptiz,Positive
bar,Neutral
barbarian,Negative
barbar,Negative
barber,Neutral
bard,Neutral
bare,Neutral
bargain,Positive
bark,Neutral
barn,Neutral
barrel,Neutral
barren,Negative
barrier,Negative
base,Objective
basebal,Neutral
basement,Neutral
bash,Negative
basic,Positive
basi,Neutral
basket,Neutral
bastard,Negative
bat,Neutral
bath,Neutral
bathroom,Objective
battl,Negative
battlefield,Negative
battleship,Neutral
bavaria,Objective
bai,Neutral
be,Neutral
beach,Neutral
beacon,Positive
beam,Neutral
bean,Neutral
bear,Objective
bear0,Neutral
bear_0,Neutral
beard,Neutral
bearer,Neutral
beastli,Negative
beat,Neutral
beaten,Neutral
beauteou,Positive
beauti,Neutral
beautifi,Positive
beaver,Neutral
becam,Neutral
becaus,Objective
beckon,Neutral
becom,Neutral
bed,Neutral
bedroom,Neutral
beef,Neutral
been,Neutral
beep,Neutral
beer,Neutral
befit,Positive
befor,Neutral
befriend,Positive
beg,Negative
began,Neutral
beggar,Negative
begin,Objective
beginn,Neutral
begun,Objective
behalf,Positive
behav,Neutral
behavior,Neutral
behaviour,Neutral
behead,Negative
behind,Objective
belat,Negative
belgian,Neutral
belgium,Neutral
beli,Negative
belief,Neutral
believ,Neutral
belittl,Negative
belliger,Negative
belli,Neutral
belong,Neutral
belov,Positive
below,Neutral
belt,Neutral
bend,Neutral
beneath,Neutral
benefactor,Positive
benefic,Positive
benefici,Positive
beneficiari,Positive
benefit,Positive
benevol,Positive
benign,Positive
bent,Neutral
bequeath,Positive
berat,Objective
bereav,Negative
bereft,Negative
berlin,Neutral
berserk,Negative
beseech,Negative
beset,Negative
besid,Neutral
besieg,Negative
best,Positive
bestow,Positive
bet,Neutral
betrai,Negative
betray,Negative
betroth,Positive
better,Positive
between,Neutral
bewar,Negative
bewild,Negative
bewilder,Negative
beyond,Neutral
bibl,Neutral
biblic,Neutral
bicep,Neutral
bid,Neutral
big,Neutral
bigotri,Neutral
bilater,Neutral
bill,Neutral
billion,Neutral
bin,Neutral
biographi,Neutral
biolog,Neutral
bird,Neutral
birth,Neutral
birthdai,Objective
birthplac,Objective
bishop,Neutral
bit,Neutral
bitchi,Negative
bite,Negative
bitten,Objective
bitter,Negative
bitumin,Neutral
bizarr,Negative
black,Neutral
blackmail,Negative
blade,Neutral
blah,Negative
blame,Negative
blameless,Positive
bland,Negative
blanket,Neutral
blast,Negative
blatant,Negative
bleak,Negative
bleed,Neutral
blemish,Negative
bless,Positive
blind,Negative
blink,Objective
bliss,Positive
blith,Positive
blizzard,Neutral
bloc,Neutral
block,Negative
blockad,Neutral
blockhead,Negative
blood,Neutral
bloodsh,Negative
bloodthirsti,Negative
bloodi,Negative
bloom,Positive
blossom,Positive
blow,Negative
blower,Neutral
blown,Neutral
blue,Neutral
blunder,Negative
blunt,Negative
blur,Negative
blurt,Negative
board,Neutral
board_0,Neutral
boarder,Neutral
boast,Negative
boat,Neutral
boatswain,Neutral
bodi,Neutral
bogu,Negative
boil,Neutral
boister,Negative
bold,Neutral
bolivia,Neutral
bolster,Positive
bolt,Negative
bomb,Negative
bombard,Negative
bond,Neutral
bondag,Negative
bone,Neutral
bonni,Positive
bonu,Positive
book,Neutral
bookkeep,Neutral
boom,Positive
boost,Positive
boot,Negative
border,Neutral
bore,Negative
boredom,Negative
born,Neutral
borrow,Objective
bosom,Neutral
boss,Neutral
boston,Neutral
both,Neutral
bother,Negative
bothersom,Negative
bottl,Neutral
bottom,Neutral
bought,Neutral
boulder,Neutral
boulevard,Neutral
bounc,Neutral
bound,Neutral
boundari,Neutral
boundless,Positive
bounti,Positive
bourgeoi,Neutral
bourgeoisi,Neutral
bout,Negative
bow,Neutral
bower,Neutral
bowl,Neutral
box,Neutral
boxer,Neutral
boi,Neutral
boycott,Neutral
brace,Neutral
brag,Negative
brain,Objective
braini,Positive
brake,Neutral
branch,Neutral
brand,Objective
brandish,Negative
brandi,Neutral
brass,Neutral
brat,Negative
bravado,Negative
brave,Positive
braveri,Positive
brawl,Negative
brazen,Negative
brazil,Neutral
breach,Negative
bread,Objective
breadwinn,Positive
break,Negative
breakdown,Negative
breaker,Objective
breakfast,Neutral
breast,Neutral
breath,Neutral
breathless,Neutral
breed,Neutral
breez,Neutral
bribe,Negative
bride,Neutral
bridg,Neutral
brief,Neutral
bright,Positive
brillianc,Positive
brilliant,Positive
bring,Neutral
bristl,Negative
britain,Neutral
british,Neutral
brittl,Negative
broad,Neutral
broadcast,Neutral
broaden,Neutral
broke,Neutral
broken,Neutral
brokenheart,Negative
broker,Neutral
bronz,Neutral
brood,Negative
brother,Neutral
brotherhood,Positive
brotherli,Positive
brought,Neutral
brown,Neutral
bruis,Negative
brush,Neutral
brusqu,Negative
brutal,Neutral
brute,Negative
brutish,Negative
bubbl,Neutral
buckl,Negative
buddi,Neutral
budget,Neutral
budgetari,Neutral
buffalo,Neutral
bug,Neutral
build,Neutral
builder,Neutral
built,Neutral
bulgaria,Neutral
bulk,Neutral
bull,Neutral
bullet,Negative
bulletin,Neutral
bum,Negative
bunch,Neutral
bundl,Neutral
bungl,Negative
bunk,Neutral
buoyant,Positive
burden,Negative
burdensom,Negative
bureau,Neutral
bureaucraci,Neutral
bureaucrat,Neutral
burglar,Negative
burglari,Negative
burial,Neutral
burma,Objective
burmes,Objective
burn,Negative
burnt,Objective
burst,Neutral
burundi,Neutral
buri,Negative
bu,Neutral
bush,Neutral
busi,Neutral
businessman,Neutral
businessmen,Neutral
busybodi,Negative
but,Neutral
butcher,Neutral
butcheri,Negative
butter,Neutral
bui,Neutral
buzzard,Neutral
by,Neutral
cabin,Objective
cabinet,Objective
cadillac,Neutral
cafe,Neutral
cage,Neutral
cake,Neutral
calam,Negative
calcium,Neutral
calcul,Neutral
calendar,Neutral
california,Objective
call,Neutral
caller,Neutral
callou,Negative
calm,Positive
cambodia,Objective
came,Neutral
camel,Neutral
camera,Neutral
cameroon,Neutral
cameroun,Neutral
camp,Neutral
campaign,Neutral
campu,Neutral
can,Neutral
can't,Neutral
canada,Neutral
cancel,Negative
cancer,Negative
candid,Positive
candl,Neutral
candor,Positive
candi,Neutral
canneri,Neutral
cannib,Negative
cannon,Negative
cannot,Neutral
cano,Neutral
canva,Neutral
canyon,Neutral
cap,Neutral
capabl,Positive
capac,Neutral
capit,Neutral
capitol,Objective
capitul,Negative
caprici,Negative
capsiz,Negative
captain,Neutral
captiv,Positive
captur,Negative
car,Neutral
card,Neutral
cardin,Neutral
care,Positive
careen,Negative
career,Neutral
carefre,Positive
careless,Negative
caress,Positive
carolina,Neutral
carpent,Neutral
carriag,Neutral
carrier,Objective
carri,Objective
cartel,Neutral
case,Neutral
casework,Neutral
cash,Neutral
cast,Neutral
castl,Neutral
castrat,Neutral
casual,Positive
casualti,Negative
cat,Neutral
cataclysm,Negative
catastroph,Negative
catch,Neutral
catcher,Objective
categori,Neutral
cathedr,Neutral
cathol,Neutral
cattl,Objective
caught,Neutral
causal,Neutral
caus,Neutral
caution,Neutral
cautiou,Objective
cavalri,Neutral
cave,Neutral
ceas,Neutral
ceaseless,Positive
ceil,Neutral
celebr,Positive
cell,Neutral
cellar,Neutral
cement,Neutral
censor,Negative
censorship,Negative
censur,Negative
censu,Neutral
cent,Neutral
center,Neutral
centimet,Neutral
centimetr,Neutral
central,Objective
centralamerica,Neutral
centr,Neutral
centuri,Neutral
cereal,Objective
ceremoni,Positive
certain,Neutral
certainti,Neutral
certif,Objective
certifi,Neutral
cessat,Neutral
ceylon,Neutral
chad,Neutral
chafe,Negative
chain,Neutral
chair,Objective
chairman,Neutral
chairmen,Neutral
challeng,Negative
chamber,Neutral
champ,Positive
champion,Positive
championship,Positive
chanc,Neutral
chancellor,Objective
chang,Neutral
changeabl,Neutral
channel,Neutral
chao,Negative
chaotic,Negative
chapel,Neutral
chapter,Neutral
charact,Neutral
characteris,Neutral
characterist,Neutral
character,Neutral
charg,Neutral
charisma,Positive
charit,Positive
chariti,Positive
charm,Positive
chart,Neutral
charter,Neutral
chase,Negative
chast,Positive
chastis,Negative
chat,Neutral
chatter,Neutral
cheap,Negative
cheapen,Negative
chear,Neutral
cheat,Neutral
cheater,Negative
check,Objective
checker,Neutral
cheek,Neutral
cheer,Positive
cheeri,Positive
chemic,Neutral
chemistri,Neutral
chequ,Neutral
cherish,Positive
cherub,Positive
chest,Neutral
chic,Positive
chicago,Objective
chicken,Neutral
chide,Negative
chief,Objective
child,Neutral
childhood,Neutral
childish,Negative
childlik,Objective
children,Neutral
chile,Objective
chill,Neutral
chilli,Neutral
chin,Neutral
china,Neutral
chines,Neutral
chip,Neutral
chivalr,Positive
chivalri,Positive
choic,Neutral
choke,Negative
choos,Neutral
chore,Negative
chose,Neutral
chosen,Neutral
christ,Neutral
christendom,Neutral
christian,Neutral
christma,Neutral
chronic,Negative
chuckl,Neutral
chum,Positive
church,Neutral
cigarett,Objective
circl,Neutral
circular,Neutral
circul,Neutral
circumst,Neutral
cite,Neutral
citizen,Neutral
citizenship,Neutral
citi,Neutral
civic,Neutral
civil,Positive
civilian,Neutral
civilis,Neutral
claim,Neutral
clamor,Negative
clandestin,Neutral
clarif,Neutral
clarifi,Positive
clariti,Positive
clash,Negative
class,Neutral
classic,Positive
classif,Neutral
classifi,Neutral
classroom,Neutral
clatter,Negative
clai,Neutral
clean,Positive
cleanli,Positive
cleans,Positive
clear,Positive
clear0,Neutral
clear_0,Neutral
clearanc,Objective
clergyman,Neutral
clerk,Neutral
clever,Positive
click,Neutral
client,Neutral
cliff,Neutral
climat,Neutral
climax,Neutral
climb,Neutral
cling,Neutral
clinic,Neutral
cliqu,Negative
clock,Neutral
clog,Negative
close,Neutral
closet,Neutral
cloth,Neutral
cloud,Objective
clout,Positive
club,Neutral
clue,Neutral
clumsi,Negative
clung,Neutral
cluster,Neutral
clutter,Negative
co,Objective
cooper,Positive
coordin,Objective
co.,Neutral
coach,Neutral
coachman,Neutral
coal,Objective
coalit,Neutral
coars,Negative
coast,Neutral
coat,Neutral
coax,Positive
cocki,Negative
cockpit,Neutral
cocktail,Neutral
cocoa,Neutral
coddl,Positive
code,Neutral
coerc,Negative
coercion,Negative
coerciv,Negative
coexist,Positive
coffe,Neutral
coffin,Neutral
cogent,Positive
cogniz,Positive
coher,Positive
cohes,Positive
cohort,Positive
coin,Neutral
coincid,Neutral
cold,Negative
collabor,Positive
collaps,Negative
collar,Neutral
collater,Neutral
colleagu,Positive
collect,Neutral
collectiv,Neutral
colleg,Neutral
collid,Negative
collis,Negative
collus,Negative
colonel,Neutral
coloni,Neutral
color,Neutral
colorado,Neutral
coloss,Positive
columbia,Neutral
column,Neutral
combat,Negative
combin,Neutral
combust,Neutral
come,Neutral
comeback,Positive
comedi,Positive
comer,Neutral
comest,Positive
comfort,Positive
comic,Positive
command,Neutral
commemor,Positive
commenc,Neutral
commend,Positive
commensur,Positive
comment,Neutral
commerc,Neutral
commerci,Objective
commiser,Negative
commiss,Positive
commission,Neutral
commit,Negative
committe,Neutral
commodi,Positive
commod,Neutral
common,Positive
commonmarket,Neutral
commonplac,Negative
commonsens,Positive
commonwealth,Neutral
commot,Negative
commun,Positive
communion,Positive
communiqu,Neutral
communist,Neutral
commut,Neutral
companion,Positive
companionship,Positive
compani,Neutral
compar,Neutral
comparison,Neutral
compart,Neutral
compass,Neutral
compassion,Positive
compat,Positive
compatriot,Neutral
compel,Negative
compens,Positive
compet,Negative
competit,Negative
competitor,Negative
compil,Neutral
complain,Negative
complaint,Negative
complement,Positive
complementari,Positive
complet,Positive
complex,Negative
complianc,Positive
complic,Negative
compliment,Positive
compli,Neutral
compon,Neutral
compos,Neutral
comPositive,Neutral
composur,Positive
compound,Neutral
comprehend,Positive
comprehens,Positive
compress,Neutral
compris,Neutral
compromis,Positive
compuls,Negative
compulsori,Neutral
comput,Neutral
conceal,Negative
conced,Neutral
conceit,Negative
conceiv,Neutral
concentr,Neutral
concept,Neutral
concern,Negative
concert,Neutral
concess,Positive
concili,Neutral
conciliatori,Neutral
conclud,Neutral
conclus,Neutral
concret,Neutral
concur,Positive
concurr,Neutral
condemn,Negative
condens,Neutral
condescend,Negative
condescens,Negative
condit,Neutral
condon,Positive
conduc,Positive
conduct,Neutral
conductor,Neutral
confederaci,Neutral
confeder,Neutral
confer,Positive
confess,Negative
confid,Positive
configur,Neutral
confin,Negative
confirm,Neutral
confisc,Negative
conflict,Negative
conform,Neutral
conformist,Neutral
confound,Negative
confront,Negative
confus,Negative
congeni,Positive
congest,Negative
congo,Neutral
congratul,Positive
congratulatori,Positive
congreg,Positive
congress,Neutral
congression,Neutral
congressman,Neutral
congressmen,Neutral
conjunct,Positive
conjur,Positive
connect,Positive
connecticut,Neutral
conquer,Positive
conqueror,Positive
conquest,Positive
conscienc,Positive
conscienti,Positive
consciou,Neutral
conscious,Neutral
consecr,Neutral
consensu,Positive
consent,Positive
consequ,Neutral
conserv,Neutral
conservat,Neutral
consid,Positive
consider,Neutral
consign,Positive
consist,Neutral
consol,Neutral
consolid,Positive
conspicu,Neutral
conspiraci,Negative
conspir,Negative
constabl,Neutral
constanc,Positive
constant,Neutral
constern,Negative
constitu,Neutral
constitut,Neutral
constrain,Negative
constraint,Negative
construct,Neutral
constru,Neutral
consult,Positive
consum,Neutral
consumm,Positive
consumpt,Neutral
contact,Positive
contagi,Negative
contain,Neutral
contamin,Negative
contempl,Objective
contemporan,Neutral
contempt,Negative
contemptu,Negative
contend,Negative
content,Neutral
contest,Neutral
context,Neutral
contin,Neutral
continent,Neutral
conting,Neutral
continu,Neutral
continuum,Neutral
contract,Neutral
contractu,Neutral
contradict,Negative
contradictori,Negative
contrari,Negative
contrast,Neutral
contribut,Positive
contributor,Positive
contriv,Neutral
control,Neutral
controversi,Negative
conven,Positive
conveni,Neutral
convent,Neutral
convers,Neutral
convert,Neutral
convei,Neutral
convict,Negative
convinc,Positive
convuls,Neutral
cook,Neutral
cooki,Neutral
cool,Negative
cop,Neutral
cope,Neutral
copper,Neutral
copi,Neutral
copyright,Neutral
cord,Objective
cordial,Positive
core,Neutral
corn,Neutral
corner,Neutral
corp,Neutral
corpor,Neutral
corpu,Neutral
correct,Positive
correl,Neutral
correspond,Neutral
corrod,Negative
corros,Negative
corrupt,Negative
corsica,Neutral
cosmic,Neutral
cost,Negative
costa,Neutral
costarica,Neutral
costli,Negative
costum,Neutral
cottag,Neutral
cotton,Neutral
could,Neutral
council,Positive
counsel,Positive
counselor,Neutral
count,Neutral
counteract,Negative
counterbal,Neutral
counterfeit,Negative
counterpart,Neutral
countless,Neutral
countri,Neutral
counti,Objective
coup,Neutral
coupl,Neutral
courag,Positive
cours,Neutral
court,Neutral
courteou,Positive
courtesi,Positive
courtli,Positive
cousin,Neutral
coven,Positive
cover,Neutral
coverag,Neutral
covert,Negative
covet,Negative
cow,Neutral
coward,Negative
coyot,Neutral
cozi,Positive
crack,Neutral
craft,Neutral
crafti,Negative
cram,Negative
cramp,Negative
cranki,Negative
crash,Objective
crass,Negative
crave,Negative
crawl,Neutral
craze,Negative
crazi,Negative
cream,Neutral
creat,Positive
creation,Neutral
creativ,Positive
creator,Neutral
creatur,Neutral
credenti,Positive
credibl,Positive
credit,Neutral
credo,Neutral
credul,Objective
creek,Neutral
creep,Neutral
crept,Neutral
crest,Neutral
crete,Neutral
crew,Neutral
crime,Negative
crimin,Negative
cring,Negative
crippl,Negative
crisi,Negative
crisp,Neutral
criteria,Neutral
criterion,Neutral
critic,Negative
criticis,Neutral
croak,Negative
crook,Negative
crop,Neutral
cross,Neutral
cross0,Neutral
cross_0,Neutral
cross_,Neutral
crosssect,Objective
crossroad,Neutral
crouch,Neutral
crowd,Neutral
crown,Neutral
crucial,Neutral
crucifix,Neutral
crude,Negative
cruel,Negative
cruelti,Negative
crumbl,Negative
crumpl,Negative
crusad,Positive
crush,Negative
crutch,Neutral
cry,Neutral
cuba,Objective
cuban,Neutral
cubic,Neutral
cubism,Objective
cuddl,Positive
culmin,Positive
culpabl,Negative
culprit,Negative
cult,Neutral
cultiv,Positive
cultur,Neutral
cumbersom,Negative
cumul,Neutral
cup,Neutral
cupid,Positive
curb,Neutral
cure,Positive
curios,Neutral
curiou,Neutral
curl,Neutral
currenc,Neutral
current,Neutral
curs,Negative
cursori,Negative
curt,Negative
curtail,Negative
curtain,Objective
curtsei,Positive
curv,Neutral
custom,Neutral
customari,Neutral
cut,Negative
cute,Positive
cycl,Neutral
cylind,Neutral
cynic,Negative
cypru,Neutral
czech,Neutral
czechoslovakia,Objective
dad,Neutral
daddi,Neutral
dagger,Neutral
dahomei,Neutral
daili,Neutral
dairi,Neutral
dakota,Neutral
damag,Negative
damn,Negative
damnabl,Negative
damp,Neutral
danc,Positive
dancer,Neutral
danger,Negative
danish,Objective
dare,Positive
dark,Negative
darken,Negative
darl,Positive
darn,Negative
dash,Neutral
data,Neutral
date,Neutral
daughter,Neutral
daunt,Negative
dauntless,Positive
dawdl,Negative
dawn,Neutral
dai,Neutral
daylight,Neutral
daytim,Neutral
daze,Negative
dazzl,Positive
dead,Negative
deadlock,Negative
deadli,Negative
deadweight,Negative
deaf,Negative
deal,Positive
dealer,Neutral
dealt,Neutral
dean,Neutral
dear,Positive
dearth,Negative
death,Negative
debat,Negative
debt,Neutral
debtor,Negative
debut,Neutral
decad,Neutral
decai,Negative
deceas,Negative
deceit,Negative
deceiv,Negative
decemb,Neutral
decenc,Positive
decent,Positive
decentr,Neutral
decept,Negative
decid,Neutral
decim,Neutral
deciph,Positive
decis,Neutral
deck,Neutral
declar,Neutral
declin,Negative
decompos,Negative
decor,Positive
decreas,Negative
decre,Neutral
dedic,Positive
deduc,Positive
deduct,Neutral
deem,Objective
deep,Neutral
deepen,Neutral
deer,Neutral
defam,Negative
default,Negative
defeat,Negative
defec,Neutral
defect,Negative
defenc,Neutral
defend,Positive
defens,Positive
defensecommun,Neutral
defer,Neutral
defianc,Negative
defiant,Negative
defici,Negative
deficit,Negative
defil,Negative
defin,Neutral
definit,Neutral
defrai,Neutral
defi,Negative
degener,Negative
degrad,Negative
degre,Neutral
deject,Neutral
delai,Negative
deleg,Neutral
delewar,Neutral
deliber,Neutral
delicaci,Positive
delic,Positive
delight,Positive
delinqu,Negative
delirium,Negative
deliv,Neutral
deliveri,Neutral
delud,Neutral
delug,Negative
delus,Negative
demand,Neutral
demean,Negative
demis,Negative
demo,Neutral
demobil,Neutral
democraci,Neutral
democrat,Neutral
demolish,Negative
demon,Negative
demonstr,Neutral
demoralis,Neutral
demor,Negative
denial,Negative
denmark,Neutral
denomin,Neutral
denot,Neutral
denounc,Negative
dens,Neutral
densiti,Neutral
dent,Negative
dentist,Neutral
denunci,Neutral
deni,Negative
depart,Neutral
departur,Neutral
depend,Neutral
